query_time,message,like_count
1/6/2021 16:58,Third world woes. ,1
1/6/2021 16:58,"Yes,  board and senior mgmt.... RESIGN NOW  !!!",1
1/6/2021 16:58,Check Minister of Environment... Not a  squek from him.,0
1/6/2021 16:58,What's going on and so frequent.,0
1/6/2021 16:58,This is sure somebody behind it..,0
1/6/2021 16:58,"Do you think your request work?Sorry don't mention better than you mentioned,they can't hear you",0
1/6/2021 16:58,Welcome to the third world😓😓,0
1/6/2021 16:58,The reason?,0
1/6/2021 16:58,Bil air bg bulan oktober november 2020 tak perlu bayarlah.,0
1/6/2021 16:58,Hampeh... tukar MB lah weh,0
1/6/2021 16:58,"Since Sheratong Move snatch the government,,,,they have been sabotaging Selangor and its PH Mentri Besar with the Water Issue ?!! They were trying very hard to take over the richest State of Selangor     👹🤜🏿💣",0
1/6/2021 16:58,Wtf wrong again?,0
1/6/2021 16:58,Teruk ea PH nie,0
1/6/2021 16:58,,0
1/6/2021 16:58,,
1/6/2021 16:58,,0
1/6/2021 16:58,The water management team MUST be replaced with professional people of unquestionable integriti and subscribed to full corporate responsibility that also has NO political inclination. That's the root problem of all the unusually frequent water problems.,0
1/6/2021 16:58,"So, are they going to drag IWK directors to court like they did to directors of previous polluter companies?  https://www.malaymail.com/news/malaysia/2020/11/10/pollution-behind-latest-water-cut-traced-to-indah-water-plant-in-rawang-say/1921252",0
1/6/2021 16:58,No maintenance no money.. got work got money for all la.. more maintenance more money,0
1/6/2021 16:58,What a shame.,0
1/6/2021 16:58,Good idea,0
1/6/2021 16:58,God bless 😇😇,0
1/6/2021 16:58,unbelievable,0
1/6/2021 16:58,Teruk betul,0
1/6/2021 16:58,Only god knows,0
1/6/2021 16:58,Anjing,0
1/6/2021 16:58,Joey Low ,0
1/6/2021 16:58,Maybe #airselangor can start giving us 2021 water breakdown schedules so that we can be well prepared every month. Never ending story 🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️,1
1/6/2021 16:58,Jun Jun,0
1/6/2021 16:58,,0
1/6/2021 16:58,Ashley Teoh,0
1/6/2021 16:58,Politically motivated ,0
1/6/2021 16:58,Happy Deepavali ,0
1/6/2021 16:58,Jojo Pang,1
1/6/2021 16:58,Again!,0
1/6/2021 16:58,"Rachel Phon USJ13 okay, never kena",0
1/6/2021 16:58,again omg,0
1/6/2021 16:58,Never ending problem .. 😡😡😡,1
1/6/2021 16:58,Endless problem,1
1/6/2021 16:58,Tak berkompetent langsung.,0
1/6/2021 16:58,,
1/6/2021 16:58,AGAIN? ,1
