created_time,message
11/1/2021 9:10,Fuck that!! Pedo Joe and Spread my legs Harris can take that mask mandate and shove it up there a$$
12/1/2021 9:43,I push to ban Biden in all 50 states and DC.
12/1/2021 9:31,I think a white male  is fucked
12/1/2021 6:56,Slimy joe stick them mask up your ass I will not wear it you or nobody else will make me mf
11/1/2021 9:09,"F him, and everything he stands for. #joebidennotmypresident"
11/1/2021 20:01,Pedo Joe needs a muzzle.and handcuffs
11/1/2021 9:06,He's nuts.How about that..He's got a lot more things to worry about..The war that's coming
11/1/2021 10:06,No one should have to tell you to put a mask on you should be smart enough to do it with out anyone telling you but stupid is as stupid does for you dumb assholes that just don't get it.  Have someone you love die and then you might get it but I doubt it
12/1/2021 12:46,I DECIDE WHEN AND WHERE I WEAR A MASK. I DON'T NEED AN EMPTY HEADED CLOWN TELLING ME WHAT TO DO. FREEDOM OF CHOICE. 
11/1/2021 9:08,He can take his mask and shove it straight up his ass....
11/1/2021 10:52,"If you issue such a mandate, I’ll burn my mask and stop wearing it at all, you POS. "
11/1/2021 9:09,I think we should pick a high bridge in one of our 50 states and push Biden off
,
,
11/1/2021 9:10,
11/1/2021 9:09,"This will be the only only thing that this clown will accomplish in four years, that won't affect america's pocketbooks."
11/1/2021 9:51,
11/1/2021 9:19,
11/1/2021 9:12,A 1/3  will never do it. It will take a long time  to get it under control.
11/1/2021 9:09,I'm exicutin my 4th amendment rights to not look like a bafoon
15/1/2021 6:57,
15/1/2021 6:57,
11/1/2021 10:07,
11/1/2021 9:52,
11/1/2021 9:34,
11/1/2021 9:10,It's not going to stop him from sniffing little children
11/1/2021 9:11,Absolutely don’t care what he says for the next four years  He can’t even push his own wheelchair  NOT MY PRESIDENT ????
11/1/2021 9:43,"I'll do whatever I want. Just like Twitter,  Apple, Google and others. I AM A PRIVATE COMPANY OF MY OWN!"
15/1/2021 5:42,Fuck him I will not wear on. Half the people I see wearing them are wearing wrong so to the stupid people out there wearing masks you do know that your nose has it be in the mask for it to work if you believe it does
12/1/2021 7:21,"Your  defunded the police  How you going to  enforce  that when you chouldnt  stop  a few peaceful  protesters  from taking over the  Capitol,  and even  that police  didn't  want to harm there brothers, for your  sorry ass,"
12/1/2021 6:35,Take that mask and stick it up your ass
11/1/2021 9:25,What does he think we’ve been doing for 9 months.  What a moron 
11/1/2021 9:15,I think bumbling Biden is a puppet clown. No respect for this idiot
12/1/2021 0:33,He can kiss my ass RIGHT IN THE MIDDLE What a WORTHLESS POS & Fake 
11/1/2021 10:22,Stupid old man can’t amazing he run the country very sad day for America going downhill 
11/1/2021 9:18,Going to be 4 years of hell with this SOB.
11/1/2021 9:17,Money Money Money for the investors.
13/1/2021 12:16,both can  take a hike 
11/1/2021 22:31,THAT SOB DOESN'T WEAR ONE OVER 1/2 THE TIME HE IS IN PUBLIC THAT DUMBASS.
,
,
11/1/2021 9:11,Where will it go from there??? Wow
11/1/2021 19:25,I think he is an idiot and don't want him for president
11/1/2021 11:34,Stick your MASKS where Sun don't shine idiot
11/1/2021 11:11,"Stupid, but he can even though he has no right. Trump said it was up to the govenors."
11/1/2021 9:47,Sorry telling us what to wear is unconstitutional.
11/1/2021 9:34,"Stick your mask up your arse, they are the f_##$ ng problem get out and get fresh air you dumb ass"
11/1/2021 9:26,Biden can ware mine iam.not going to
11/1/2021 9:16,They want everyone to be dependent on govt. What these morons voted for us disgusting.
12/1/2021 9:22,"Not in your power, idiot."
12/1/2021 6:57,"What part of I WILL NOT COMPLY dont you get? Not wearing the shit, not for anyone....notta, you better lay the fuck off this subject"
11/1/2021 10:00,He about as stupid as the people that wears mask driving alone in the cars.
15/1/2021 5:27,JUST THE START OF DICTATORSHIP BE READY AMERICA THE WORSE IS YET TO COME.
13/1/2021 5:08,
12/1/2021 9:25,Who is this Clown?
13/1/2021 5:09,
11/1/2021 9:19,"Biden can go to China (Hell), and Fuck Himself."
11/1/2021 9:16,Old news this is from last year shortly after elections. 
11/1/2021 9:20,Stick the mask shit up your ass 
14/1/2021 20:33,Mask deez nutz!
11/1/2021 9:12,I'm going with Fuck no.  I haven't nor will I ever wear a mask.  Mandate this motherfucker!
11/1/2021 9:50,Bidens a  moron and needs to go back in basement.
11/1/2021 13:22,I got something he can push.Piece of shit pedophile
15/1/2021 6:14,I have know more words for this guy...
15/1/2021 1:41,Once again he can kiss my ass
14/1/2021 12:48,??????
,
,
14/1/2021 4:57,??????
14/1/2021 2:59,??
13/1/2021 22:36,??
13/1/2021 20:50,Good luck
13/1/2021 12:19,Fuck him
13/1/2021 11:40,????????????????????????
13/1/2021 10:09,He can wipe his ass with them
13/1/2021 10:00,Fuck you joe 
13/1/2021 3:19,No tnx
12/1/2021 22:25,Fuck biden
12/1/2021 19:03,Eat shit you disgusting cheating lying baboon 
12/1/2021 18:45,Manchurian candidate racist
12/1/2021 16:11,Barf
12/1/2021 16:11,??????????????
12/1/2021 13:45,F this blithering idiot!!
12/1/2021 11:43,Lol !!!!!!!!!!!!!!!!!!!!!!!!
12/1/2021 10:41,Umm your a fucking idiot
12/1/2021 9:19,????
12/1/2021 8:57,Fuck you dumb ass biden
12/1/2021 8:46,Not possible
12/1/2021 7:35,Fuck you biden
12/1/2021 6:56,"Lol, fuck you"
12/1/2021 6:02,He is a fucking moron just like the rest of them. Devil worshipers
12/1/2021 5:13,Deport him
12/1/2021 3:37,kiss my mask ass
,
,
12/1/2021 3:14,Good!
12/1/2021 2:21,
12/1/2021 1:06,NO!
12/1/2021 0:40,No
12/1/2021 0:14,F**k you cheater and criminal
11/1/2021 23:00,Fuck him
11/1/2021 22:20,Control period 
11/1/2021 22:18,F HIM I'M NOT GOING TO WARE ONE SO KISS MY ASS.
11/1/2021 21:41,"Antifa members were escorted by the police to the front of the capital. This was staged by the Democrats, but now they are in serious trouble, because 5 people died. The police open the door for Antifa. There are many pictures showing Antifa vandalizing the inside of the building.  Watch!  https://m.facebook.com/story.php?story_fbid=850740385692085&id=100022683936567  Folks, they got Pelosi's lap top and can prove her involvement. It was seized during the riot.  https://www.facebook.com/gary.adams.547/videos/10208471222495342/"
