created_time,message
11/01/2021 20:01,Pedo Joe needs a muzzle.and handcuffs
11/01/2021 19:59,Fuck Biden the pedophile
11/01/2021 19:25,I think he is an idiot and don't want him for president
11/01/2021 19:12,Bandits wear Masks
11/01/2021 19:06,"Stop the fear! Open up, let’s get to herd immunity already. Mask don’t work obviously, if it’s still raging? Life is inherently dangerous. Go hide under a rock if it’s too much for you to bare! "
11/01/2021 18:07,??
11/01/2021 14:39,"Inside ok, outside no way"
11/01/2021 14:09,Buh Bye
11/01/2021 13:43,Please tell me that is not your big plan!!!!
11/01/2021 13:29,Such a clown! ??
11/01/2021 13:22,I got something he can push.Piece of shit pedophile
11/01/2021 12:58,Fruck hom
11/01/2021 12:58,Fruck hom
11/01/2021 12:25,some plan been wearing a mask over a year think of something of else
11/01/2021 12:02,A Clown ??
11/01/2021 12:02,A Clown ??
11/01/2021 11:55,what does he think people are wearing now get glasses guy
11/01/2021 11:34,Stick your MASKS where Sun don't shine idiot
11/01/2021 11:27,Foxtrot yankee
11/01/2021 11:27,Foxtrot yankee
11/01/2021 11:25,Not everyone 
11/01/2021 11:21,Shut up Joe
11/01/2021 11:16,His head is up his ass for the warmth.
11/01/2021 11:12,He can kiss my ass
11/01/2021 11:11,"Stupid, but he can even though he has no right. Trump said it was up to the govenors."
11/01/2021 11:11,I don't think so
11/01/2021 11:03,FUCK YOU??
11/01/2021 11:03,FUCK YOU??
11/01/2021 11:00,No
11/01/2021 11:00,No
11/01/2021 10:52,"If you issue such a mandate, I’ll burn my mask and stop wearing it at all, you POS. "
11/01/2021 10:42,"I wear a mask but never if he tells me to,  hes not my president and never will be.."
11/01/2021 10:40,??
11/01/2021 10:40,??
11/01/2021 10:37,Wow is this Joe‘s big plan for getting rid of the Covid what a genius lol
11/01/2021 10:34,????????????????BIDEN!!!!
11/01/2021 10:34,????????????????BIDEN!!!!
11/01/2021 10:33,No mask for me Joe!!
11/01/2021 10:32,But once the mandate on the shot takes place we shouldn't have anything to worry about and  Joe said he is going to cure all problems he said covid-19  will be finished when he is elected president? So why would he mandate a mask?
11/01/2021 10:28,Nope
11/01/2021 10:27,If masks worked covid would be gone...come on people
11/01/2021 10:26,Up yours Biden you ain’t my president 
11/01/2021 10:24,Well let him wear it in prisión
11/01/2021 10:24,I am interested in seeing how he will enforce it !
11/01/2021 10:24,He can take his mask mandate and stick it where the sun don’t shine!
11/01/2021 10:23,Not doing it! 
11/01/2021 10:23,Not doing it! 
11/01/2021 10:22,Stupid old man can’t amazing he run the country very sad day for America going downhill 
11/01/2021 10:22,He can shove the mask bullshit up his ass
11/01/2021 10:20,????????
11/01/2021 10:20,????????
11/01/2021 10:18,This is just one way for the government to start controlling the public
11/01/2021 10:16,Good luck with that
11/01/2021 10:15,The hope is you will do it to protect the people around you 
11/01/2021 10:15,He can kiss my ass
11/01/2021 10:14,I think he’s a fucking nut
11/01/2021 10:14,"F off Biden,your nobody in my book.??"
11/01/2021 10:14,"F off Biden,your nobody in my book.??"
11/01/2021 10:13,Joe go to sleep in your basement
11/01/2021 10:13,He needs a full mask over his head
11/01/2021 10:12,He's nuts.
11/01/2021 10:11,He's  getting rich off this for sure
11/01/2021 10:10,Screw your mask asshole
11/01/2021 10:10,He can push it up his ass.
11/01/2021 10:10,He can f****** self
11/01/2021 10:09,"Good luck with that, idiot!!!"
11/01/2021 10:07,Don't hurt yourself Joe
11/01/2021 10:06,No one should have to tell you to put a mask on you should be smart enough to do it with out anyone telling you but stupid is as stupid does for you dumb assholes that just don't get it.  Have someone you love die and then you might get it but I doubt it
11/01/2021 10:04,Duh ?
11/01/2021 10:04,Duh ?
11/01/2021 10:00,"Ummm, no."
11/01/2021 10:00,He about as stupid as the people that wears mask driving alone in the cars.
11/01/2021 09:58,????????
11/01/2021 09:58,????????
11/01/2021 09:57,Maskhole
11/01/2021 09:57,Go fuck yourself POS !!!
11/01/2021 09:56,Fuck Joe Obiden!
11/01/2021 09:56,????
11/01/2021 09:56,????
11/01/2021 09:55,Stop Biden Harris NOW
11/01/2021 09:53,"Whatever, try to enforce that bullshit"
11/01/2021 09:53,Kiss my ass your not my president Trump 2021
11/01/2021 09:53,He's nuts
11/01/2021 09:52,Lol thought it aready was
11/01/2021 09:50,He’s not my president and I don’t give a fuck what he says
11/01/2021 09:50,Bidens a  moron and needs to go back in basement.
11/01/2021 09:48,Make us... I have wore a mask exactly one time since this supposed covid outbreak. They wouldn't let me in DMV to register a car without it. Anywhere else I suggest they kiss my ass.
11/01/2021 09:47,Sorry telling us what to wear is unconstitutional.
11/01/2021 09:46,NMP F#ck Him and That Mask!
11/01/2021 09:46,At first he Said he would not do that when president. Now he is.
11/01/2021 09:45,Go smell Harris hair and leave the innocent little girls hair alone....and leave American citizens alone too  Biden
11/01/2021 09:44,mandate this ??
11/01/2021 09:44,Dictatorship 101.
11/01/2021 09:43,Um fuck off
11/01/2021 09:43,"I'll do whatever I want. Just like Twitter,  Apple, Google and others. I AM A PRIVATE COMPANY OF MY OWN!"
11/01/2021 09:43,I am so sick of the dam mask and sick of hearing about covid too
11/01/2021 09:42,US NOT YOUR CHINA MORON
11/01/2021 09:42,??
11/01/2021 09:42,??
11/01/2021 09:41,Yes I agree we need to stop the virus that Trump unleashed on our country he went to China as he flew back to the United States he tossed hand full out the window and spread it all over the world that is what he did 
11/01/2021 09:41,Joe Biden can MANDATE this. He needs to keep his pie hole shut
11/01/2021 09:41,I am not wearing one so digest that
11/01/2021 09:40,Sorry it’s my right and I’ll fight it all the way to court 
11/01/2021 09:39,Thank you President Biden ??
11/01/2021 09:39,Fauci is on video saying people should not wear masks. He said it will not help.  This is about controlling people .
11/01/2021 09:38,The issue should be a promise for normalcy in 2-3 months
11/01/2021 09:36,That's common sense don't need the president to tell.us that.
11/01/2021 09:36,Stay in your lane Joey!
11/01/2021 09:35,??????
11/01/2021 09:35,??????
11/01/2021 09:34,"Stick your mask up your arse, they are the f_##$ ng problem get out and get fresh air you dumb ass"
11/01/2021 09:34,Pull your mask up higher Joe so we don't have to see your face.
11/01/2021 09:34,No!!!!!!!????????????
11/01/2021 09:34,No!!!!!!!????????????
11/01/2021 09:34,????????not my president
11/01/2021 09:34,????????not my president
11/01/2021 09:33,Well said my friend well said indeed!!
11/01/2021 09:33,Pos 
11/01/2021 09:33,Fuck this guy and mark zuck
11/01/2021 09:31,You can try hiding under your bed too.
11/01/2021 09:31,Joe Biden can go fuck himself.
11/01/2021 09:31,He’s ??????
11/01/2021 09:31,He can go fuck himself...i have my rights...but I choose to wear one because of my job and my family...not doe him! Never!
11/01/2021 09:31,??
11/01/2021 09:31,??
11/01/2021 09:30,Wow what a presidential first action. Lol. Whats next in this sleepy joe?
11/01/2021 09:30,Fuck Joe Biden and anyone who voted for him.
11/01/2021 09:30,Biden will never be president 
11/01/2021 09:30,????
11/01/2021 09:30,????
11/01/2021 09:28,Stupid as usual!
11/01/2021 09:28,Fo
11/01/2021 09:28,Fo
11/01/2021 09:27,What the hell have we been doing since March? 
11/01/2021 09:27,Go zto Hell creepy joe
11/01/2021 09:26,The 25th amendment will be authorized against him within six months. He doesn’t know what day it is. 
11/01/2021 09:26,Biden can ware mine iam.not going to
11/01/2021 09:25,What does he think we’ve been doing for 9 months.  What a moron 
11/01/2021 09:25,He can only mandate in federal buildings. 
11/01/2021 09:24,NOT!!!!
11/01/2021 09:24,NOT!!!!
11/01/2021 09:24,He look like mask
11/01/2021 09:23,Not doing it
11/01/2021 09:23,Not doing it
11/01/2021 09:23,might save your life
11/01/2021 09:23,Hey joey  Don't consider it done.. 
11/01/2021 09:22,Take your mask nazis and fuck off. TRAITOR. STAND AGAINST THIS OPPRESSION OF RIGHTS.
11/01/2021 09:22,He can kiss my hairy ass
11/01/2021 09:22,??
11/01/2021 09:22,??
11/01/2021 09:21,I am behind you
11/01/2021 09:20,Stick the mask shit up your ass 
11/01/2021 09:19,"Screw his mask, the only time they wear them is when the cameras are on"
11/01/2021 09:19,"Biden can go to China (Hell), and Fuck Himself."
11/01/2021 09:19,Another ground breaking concept from our president elect!!
11/01/2021 09:18,Wonder if he’s going to work for free ?????? Hahahaha yea right!
11/01/2021 09:18,"Really, like we didn't know that. Thought he had a plan. CHINA JOE"
11/01/2021 09:18,Nope!  
11/01/2021 09:18,Going to be 4 years of hell with this SOB.
11/01/2021 09:18,Fuck him
11/01/2021 09:18,Fuck him
11/01/2021 09:17,Money Money Money for the investors.
11/01/2021 09:16,Will he send Beto out to get our guns too? Haha
11/01/2021 09:16,They want everyone to be dependent on govt. What these morons voted for us disgusting.
11/01/2021 09:16,Old news this is from last year shortly after elections. 
11/01/2021 09:16,He’s a joke .... only problem nobody’s laughing !!!!!
11/01/2021 09:15,"Suck a nut, Chump!"
11/01/2021 09:15,I think our governor has got this covered..??
11/01/2021 09:15,I think bumbling Biden is a puppet clown. No respect for this idiot
11/01/2021 09:15,"I am Free, White and 21 and Joe you don't tell me what to do."
11/01/2021 09:15,Good luck!
11/01/2021 09:14,Fuck you. 
11/01/2021 09:14,Fuck you. 
11/01/2021 09:14,????
11/01/2021 09:14,????
11/01/2021 09:13,Facebook and Twitter stock holders sell your stock before it's worthless.
11/01/2021 09:13,Dominance and submission i don't think so
11/01/2021 09:12,I'm going with Fuck no.  I haven't nor will I ever wear a mask.  Mandate this motherfucker!
11/01/2021 09:12,Fuck you Biden you are a moron . Your sins will come out soon
11/01/2021 09:12,A 1/3  will never do it. It will take a long time  to get it under control.
11/01/2021 09:11,Where will it go from there??? Wow
11/01/2021 09:11,I wear mine anyway
11/01/2021 09:11,"I live in NEW YORK . It'll be no different, we already have a dictatorship here !!!"
11/01/2021 09:11,He’s not pushing for a mask mandate he does know what he’s doing he has dementia it’s a cronies around him. And honestly what have people been doing for months now. He will not do a better job than President Trump he certainly didn’t do it with sars when you were in office and did a terrible job
11/01/2021 09:11,He can kiss my ass I ain’t doing shit 
11/01/2021 09:11,Absolutely don’t care what he says for the next four years  He can’t even push his own wheelchair  NOT MY PRESIDENT ????
11/01/2021 09:10,"Wrong, who told you to say that Joe"
11/01/2021 09:10,Wear one in gitmo
11/01/2021 09:10,They can ki$$ my ass because I'm not a puppet
11/01/2021 09:10,Not my president
11/01/2021 09:10,It's not going to stop him from sniffing little children
11/01/2021 09:10,Imagine if Trump even mentioned that idea. The states are supposed to be in charge and honestly I don’t need any government telling me what’s best to protect my family and fellow citizens.   The Democrats will be praising Biden for it but I do hope the states do not just turn over their power to the federal government. 
11/01/2021 09:10,Imagine if Trump even mentioned that idea. The states are supposed to be in charge and honestly I don’t need any government telling me what’s best to protect my family and fellow citizens.   The Democrats will be praising Biden for it but I do hope the states do not just turn over their power to the federal government. 
11/01/2021 09:10,I wish he would pull his up tighter
11/01/2021 09:10,He's a fucking idiot
11/01/2021 09:10,He’s a moron
